"iter" "posterior" "prior" "likelihood" "acceptance" "beta" "gamma"
"37" 37 -1099.883926091 -4.39236969517699 -1095.49155639582 0.567567567567568 0.00200094700712274 0.156077432435035
"38" 38 -1099.883926091 -4.39236969517699 -1095.49155639582 0.552631578947368 0.00200094700712274 0.156077432435035
"39" 39 -1084.07959570194 -4.37997535737998 -1079.69962034456 0.564102564102564 0.00200730534472147 0.157685577641955
"40" 40 -1084.07959570194 -4.37997535737998 -1079.69962034456 0.55 0.00200730534472147 0.157685577641955
"41" 41 -1084.07959570194 -4.37997535737998 -1079.69962034456 0.536585365853659 0.00200730534472147 0.157685577641955
"42" 42 -1084.07959570194 -4.37997535737998 -1079.69962034456 0.523809523809524 0.00200730534472147 0.157685577641955
"43" 43 -1079.44107516872 -4.37854398723935 -1075.06253118148 0.534883720930233 0.00206235772950827 0.157875970071385
"44" 44 -1079.44107516872 -4.37854398723935 -1075.06253118148 0.522727272727273 0.00206235772950827 0.157875970071385
"45" 45 -1037.80793565229 -4.34716523951607 -1033.46077041277 0.533333333333333 0.00205573455148296 0.162328810653602
"46" 46 -1021.49486612166 -4.33255445163811 -1017.16231167002 0.543478260869565 0.00199461492643392 0.1646153619586
"47" 47 -1021.49486612166 -4.33255445163811 -1017.16231167002 0.531914893617021 0.00199461492643392 0.1646153619586
"48" 48 -982.97649507517 -4.31153625889537 -978.664958816275 0.541666666666667 0.00211562717053057 0.168208521654866
"49" 49 -970.157769577034 -4.30346777240108 -965.854301804633 0.551020408163265 0.00209519810646846 0.169702414147246
"50" 50 -956.957758305552 -4.29574914858393 -952.662009156969 0.56 0.00216862284621498 0.171202176713266
"51" 51 -956.957758305552 -4.29574914858393 -952.662009156969 0.549019607843137 0.00216862284621498 0.171202176713266
"52" 52 -954.777229042086 -4.2942571151479 -950.482971926938 0.557692307692308 0.00218406043389677 0.171500793304466
"53" 53 -954.777229042086 -4.2942571151479 -950.482971926938 0.547169811320755 0.00218406043389677 0.171500793304466
"54" 54 -954.777229042086 -4.2942571151479 -950.482971926938 0.537037037037037 0.00218406043389677 0.171500793304466
"55" 55 -954.777229042086 -4.2942571151479 -950.482971926938 0.527272727272727 0.00218406043389677 0.171500793304466
